id,jurisdiction__name,jurisdiction_id,court__name_abbreviation,court_id,reporter__full_name,reporter_id,label,date,degree_from_slave_case,cites,cites_short_name,target,slave_state
3216611,Ala.,23,Ala.,10895,Alabama Reports,296,Western Railway Co. v. Harwell,1892,1,39 Miss. 613,Josephine v. State,299246,1
3215655,Ala.,23,Ala.,10895,Alabama Reports,296,Dickson et al. v. McLarney et al.,1892,1,39 Miss. 613,Josephine v. State,299246,1
3344505,Ala.,23,Ala.,10895,Alabama Reports,296,Talmage & Co. v. Millikin & Meigs,1898,1,2 La. Ann. 846,Robinett v. Compton,334739,1
3344528,Ala.,23,Ala.,10895,Alabama Reports,296,"Hertzler, Jr. v. Stevens",1898,1,6 La. Ann. 207,McKee v. Amonett,523607,1
3419783,Ala.,23,Ala.,10895,Alabama Reports,296,Gulf Coal and Coke Co. v. Alabama Coal and Coke Co.,1906,1,7 Ga. 246,Woodward v. Solomon,580114,1
8489156,Ala.,23,Ala.,10895,Alabama Reports,296,"State, ex rel Hamilton v. Kitchens",1906,1,34 Mo. 364,Ming v. Suggett,989497,1
3549717,Ala.,23,Ala.,10895,Alabama Reports,296,"Graham v. City of Tuscumbia, et al.",1906,1,34 Mo. 364,Ming v. Suggett,989497,1
8489381,Ala.,23,Ala.,10895,Alabama Reports,296,"Prestwood v. McGowan, et al.",1906,1,34 Mo. 364,Ming v. Suggett,989497,1
8488601,Ala.,23,Ala.,10895,Alabama Reports,296,"Griswold, et al. v. Griswold, et al.",1906,1,34 Mo. 364,Ming v. Suggett,989497,1
5671019,Ala.,23,Ala.,10895,Alabama Reports,296,Darden v. Schuessler,1907,1,5 H. & J. 190,Hall v. Mullin,1032467,1
5680060,Ala.,23,Ala.,10895,Alabama Reports,296,"Central of Ga., Ry., Co., v Sturgis",1907,1,5 H. & J. 190,Hall v. Mullin,1032467,1
5677842,Ala.,23,Ala.,10895,Alabama Reports,296,Daniel v. The State,1907,1,5 H. & J. 190,Hall v. Mullin,1032467,1
8489997,Ala.,23,Ala.,10895,Alabama Reports,296,"Peavy, et al. v. Griffin, et al.",1907,1,5 H. & J. 190,Hall v. Mullin,1032467,1
8491746,Ala.,23,Ala.,10895,Alabama Reports,296,"Cartright, et al. v. West",1908,1,8 Fla. 46,Harrell v. Harrell,1129293,1
3505946,Ala.,23,Ala.,10895,Alabama Reports,296,Hays v. Lemoine,1908,1,8 Fla. 46,Harrell v. Harrell,1129293,1
3551724,Ala.,23,Ala.,10895,Alabama Reports,296,McVay v. Frank S. White & Sons,1908,1,8 Fla. 46,Harrell v. Harrell,1129293,1
3528396,Ala.,23,Ala.,10895,Alabama Reports,296,State Land Co. v. Mitchell,1909,1,8 Fla. 46,Harrell v. Harrell,1129293,1
3530298,Ala.,23,Ala.,10895,Alabama Reports,296,"Tyson, et al. v. Austill",1909,1,1 Ga. 97,Choice v. Marshall,1373851,1
8490506,Ala.,23,Ala.,10895,Alabama Reports,296,"Lacy, et al. v, Meador",1910,1,6 S. & M. 358,Buckels v. Cunningham,1637764,1
3466605,Ala.,23,Ala.,10895,Alabama Reports,296,"Howell, et al. v. Randle",1911,1,6 Gill 487,Duffy v. Calvert,1707174,1
1611778,Ala.,23,Ala. Ct. App.,11048,Alabama Appellate Courts Reports,297,Vines v. Jaffe Jewelry Company,1911,1,6 Gill 487,Duffy v. Calvert,1707174,1
3510193,Ala.,23,Ala.,10895,Alabama Reports,296,"Cook, et al. v. Atkins",1911,1,7 Gill 1,Garner v. Smith,1708174,1
1611700,Ala.,23,Ala. Ct. App.,11048,Alabama Appellate Courts Reports,297,Marsh v. Fricke,1911,1,7 Gill 1,Garner v. Smith,1708174,1
3531547,Ala.,23,Ala.,10895,Alabama Reports,296,"Claraday, et al. v. Abraham",1911,1,7 Gill 1,Garner v. Smith,1708174,1
1617752,Ala.,23,Ala. Ct. App.,11048,Alabama Appellate Courts Reports,297,"Anderson & Co., et al. v. Brammer",1912,1,9 Gill 7,Harker v. Dement,1712590,1
5685766,Ala.,23,Ala.,10895,Alabama Reports,296,Austill v. American Freehold Land Mortgage Co.,1912,1,9 Gill 7,Harker v. Dement,1712590,1
3468913,Ala.,23,Ala.,10895,Alabama Reports,296,"Veal v. Whittemore, et al.",1912,1,9 Gill 7,Harker v. Dement,1712590,1
5687859,Ala.,23,Ala.,10895,Alabama Reports,296,Cantrell v. Cantrell,1912,1,9 Gill 7,Harker v. Dement,1712590,1
3558001,Ala.,23,Ala.,10895,Alabama Reports,296,Curtis v. Curtis,1912,1,9 Gill 7,Harker v. Dement,1712590,1
8821034,Ala.,23,Ala. Ct. App.,11048,Alabama Appellate Courts Reports,297,"Loeb, et al. v. City of Montgomery",1913,1,9 Gill 7,Harker v. Dement,1712590,1
8820365,Ala.,23,Ala. Ct. App.,11048,Alabama Appellate Courts Reports,297,Bonner v. The State,1913,1,9 Gill 7,Harker v. Dement,1712590,1
3557788,Ala.,23,Ala.,10895,Alabama Reports,296,Seeley v. Curts,1913,1,9 Gill 7,Harker v. Dement,1712590,1
1623686,Ala.,23,Ala. Ct. App.,11048,Alabama Appellate Courts Reports,297,German-American National Bank v. Lewis,1913,1,9 Gill 7,Harker v. Dement,1712590,1
1626571,Ala.,23,Ala. Ct. App.,11048,Alabama Appellate Courts Reports,297,Robertson v. District Grand Lodge,1914,1,1 Pen. & W. 82,Russell v. Commonwealth,1826239,1
3516588,Ala.,23,Ala.,10895,Alabama Reports,296,"Lane v. Alabama Penny Savings Bank, et al.",1914,1,1 Pen. & W. 82,Russell v. Commonwealth,1826239,1
3564445,Ala.,23,Ala.,10895,Alabama Reports,296,Carter v. The State,1915,1,16 La. 117,Loussade v. Hartman,1827399,1
1630443,Ala.,23,Ala. Ct. App.,11048,Alabama Appellate Courts Reports,297,Stith Coal Co. v. Harris,1915,1,11 Md. 259,Howard v. Carpenter,1858125,1
3562458,Ala.,23,Ala.,10895,Alabama Reports,296,Bethea-Starr Packing & Shipping Co. v. Mayben,1915,1,11 Md. 259,Howard v. Carpenter,1858125,1
3594513,Ala.,23,Ala.,10895,Alabama Reports,296,Pullman Co. v. Meyer,1915,1,11 Md. 259,Howard v. Carpenter,1858125,1
3570460,Ala.,23,Ala.,10895,Alabama Reports,296,Sulzby v. Palmer,1916,1,11 Md. 259,Howard v. Carpenter,1858125,1
3602960,Ala.,23,Ala.,10895,Alabama Reports,296,"Pearce v. Pearce, et al.",1917,1,11 Md. 259,Howard v. Carpenter,1858125,1
3603512,Ala.,23,Ala.,10895,Alabama Reports,296,WINFIELD BANK & TRUST CO. v. ROBERTS,1917,1,11 Md. 259,Howard v. Carpenter,1858125,1
3610798,Ala.,23,Ala.,10895,Alabama Reports,296,MANCHURIA S. S. CO. v. HARRY G. G. DONALD & CO. et al.,1917,1,11 Md. 259,Howard v. Carpenter,1858125,1
3612774,Ala.,23,Ala.,10895,Alabama Reports,296,ALABAMA POWER CO. et al. v. HAMILTON et al.,1917,1,11 Md. 259,Howard v. Carpenter,1858125,1
3609831,Ala.,23,Ala.,10895,Alabama Reports,296,ASHURST v. UNION BANK & TRUST CO.,1917,1,11 Md. 259,Howard v. Carpenter,1858125,1
3612162,Ala.,23,Ala.,10895,Alabama Reports,296,BELL et al. v. SEALS PIANO & ORGAN CO.,1918,1,11 Md. 259,Howard v. Carpenter,1858125,1
3613019,Ala.,23,Ala.,10895,Alabama Reports,296,FREDERICK v. HARTLEY et al.,1918,1,11 Md. 259,Howard v. Carpenter,1858125,1
3613779,Ala.,23,Ala.,10895,Alabama Reports,296,"EUTAW ICE, WATER & POWER CO. v. TOWN OF EUTAW",1918,1,14 Ark. 408,Saffold v. Saffold,1862631,1
1641626,Ala.,23,Ala. Ct. App.,11048,Alabama Appellate Courts Reports,297,HOWARD v. RHODES,1918,1,14 Ark. 408,Saffold v. Saffold,1862631,1
5711621,Ala.,23,Ala.,10895,Alabama Reports,296,WEBB v. GLOBE SECURITIES CO.,1919,1,14 Ark. 304,Rector v. Danley,1862680,1
5710407,Ala.,23,Ala.,10895,Alabama Reports,296,PORTER v. HENDERSON,1919,1,14 Ark. 304,Rector v. Danley,1862680,1
5705138,Ala.,23,Ala.,10895,Alabama Reports,296,McDONALD v. STEPHENS,1920,1,14 Ark. 304,Rector v. Danley,1862680,1
3592211,Ala.,23,Ala.,10895,Alabama Reports,296,BRADFORD v. BUTTRAM,1921,1,14 Ark. 304,Rector v. Danley,1862680,1
3587145,Ala.,23,Ala.,10895,Alabama Reports,296,MATHEWS et al. v. GOODENOUGH et al.,1921,1,14 Ark. 304,Rector v. Danley,1862680,1
3588135,Ala.,23,Ala.,10895,Alabama Reports,296,JONES v. FIRST NAT. BANK OF GREENSBORO,1921,1,14 Ark. 304,Rector v. Danley,1862680,1
8488039,Ala.,23,Ala.,10895,Alabama Reports,296,BROMBERG v. HOFFMAN et al.,1921,1,20 Ark. 25,Howell v. Howell,1869277,1
3584029,Ala.,23,Ala.,10895,Alabama Reports,296,KENNEDY v. STATE,1922,1,20 Ark. 25,Howell v. Howell,1869277,1
3579275,Ala.,23,Ala.,10895,Alabama Reports,296,HEFLIN v. HEFLIN,1922,1,13 Tyng 455,Frith v. Sprague,2072901,1
8821228,Ala.,23,Ala. Ct. App.,11048,Alabama Appellate Courts Reports,297,KARTHAUS v. STATE,1923,1,13 Tyng 455,Frith v. Sprague,2072901,1
3578767,Ala.,23,Ala.,10895,Alabama Reports,296,VARNER et al. v. BARRETT,1923,1,13 Tyng 455,Frith v. Sprague,2072901,1
3577018,Ala.,23,Ala.,10895,Alabama Reports,296,POWELL v. LABRY et al.,1923,1,13 Tyng 455,Frith v. Sprague,2072901,1
3577553,Ala.,23,Ala.,10895,Alabama Reports,296,DABBS v. LETSON,1923,1,13 Tyng 455,Frith v. Sprague,2072901,1
8828269,Ala.,23,Ala. Ct. App.,11048,Alabama Appellate Courts Reports,297,ROTH SHOE MFG. CO. v. KARTUS et al.,1924,1,13 Tyng 455,Frith v. Sprague,2072901,1
5711994,Ala.,23,Ala.,10895,Alabama Reports,296,PARRA v. COOPER et al.,1925,1,4 Jones Eq. 390,Fairbairn v. Fisher,2083037,1
5707362,Ala.,23,Ala.,10895,Alabama Reports,296,JORDAN et al. v. RINGSTAFF et al.,1925,1,3 Jones 279,Webb v. Weeks,2086735,1
3645076,Ala.,23,Ala.,10895,Alabama Reports,296,MILTON REALTY CO. et al. v. WILSON et al.,1926,1,26 Tex. 606,O'Conner v. Silver,2107995,1
8488678,Ala.,23,Ala.,10895,Alabama Reports,296,DAVIDSON v. BROWN et al.,1926,1,20 Tex. 377,Mitchell v. Vickers,2121377,1
8492707,Ala.,23,Ala.,10895,Alabama Reports,296,YATES v. BARNETT,1927,1,20 Tex. 377,Mitchell v. Vickers,2121377,1
3618862,Ala.,23,Ala.,10895,Alabama Reports,296,AMERICAN BOOK CO. et al. v. STATE,1927,1,20 Tex. 377,Mitchell v. Vickers,2121377,1
3625568,Ala.,23,Ala.,10895,Alabama Reports,296,GARTH v. EWING et al.,1928,1,17 B. Mon 268,Swigert v. Bank of Kentucky,2340336,1
3629814,Ala.,23,Ala.,10895,Alabama Reports,296,STATHIS v. SPARKS,1930,1,2 Bail. 574,Caldwell v. Stuart,2509332,1
3632402,Ala.,23,Ala.,10895,Alabama Reports,296,COBERN v. FOSHEE,1930,1,2 Bail. 574,Caldwell v. Stuart,2509332,1
3636432,Ala.,23,Ala.,10895,Alabama Reports,296,EZZELL v. RICHARDSON et al.,1930,1,2 Bail. 574,Caldwell v. Stuart,2509332,1
5714188,Ala.,23,Ala.,10895,Alabama Reports,296,SCOTT et al. v. JACKSON SECURITIES & INVESTMENT CO.,1932,1,3 Hill 22,Waddell v. Mordecai,2512050,1
5715284,Ala.,23,Ala.,10895,Alabama Reports,296,WEBB et al. v. SPROTT,1932,1,3 Hill 22,Waddell v. Mordecai,2512050,1
3647624,Ala.,23,Ala.,10895,Alabama Reports,296,NELSON v. BOE,1933,1,3 Hill 22,Waddell v. Mordecai,2512050,1
3659817,Ala.,23,Ala.,10895,Alabama Reports,296,HAWKINS v. JEFFERSON COUNTY,1936,1,2 Mill 314,Arthur v. Wells,2550304,1
3661789,Ala.,23,Ala.,10895,Alabama Reports,296,ADLER et al. v. FIRST NAT. BANK OF BIRMINGHAM,1937,1,38 Ala. 706,"Rutledge's Adm'r v. Townsend, Crane & Co.",3005177,1
3664569,Ala.,23,Ala.,10895,Alabama Reports,296,MORTON HARDWARE CO. v. BARRANCO et al.,1937,1,38 Ala. 706,"Rutledge's Adm'r v. Townsend, Crane & Co.",3005177,1
5784982,Ala.,23,Ala.,10895,Alabama Reports,296,DUNN v. PONCELER et al.,1937,1,38 Ala. 706,"Rutledge's Adm'r v. Townsend, Crane & Co.",3005177,1
5158915,Ala.,23,Ala.,10895,Alabama Reports,296,FULLER et al. v. SCARBOROUGH,1940,1,38 Ala. 706,"Rutledge's Adm'r v. Townsend, Crane & Co.",3005177,1
5157447,Ala.,23,Ala.,10895,Alabama Reports,296,HALE et al. v. COX et al.,1941,1,38 Ala. 706,"Rutledge's Adm'r v. Townsend, Crane & Co.",3005177,1
5150324,Ala.,23,Ala.,10895,Alabama Reports,296,SWANN v. RECONSTRUCTION FINANCE CORPORATION et al.,1941,1,38 Ala. 706,"Rutledge's Adm'r v. Townsend, Crane & Co.",3005177,1
5243897,Ala.,23,Ala.,10895,Alabama Reports,296,CITY OF BESSEMER v. CLOWDUS,1953,1,33 Ala. 85,Myers' Executors v. Myers,3160272,1
5249416,Ala.,23,Ala.,10895,Alabama Reports,296,ADAMS et al. v. LOGAN et al.,1954,1,33 Ala. 85,Myers' Executors v. Myers,3160272,1
2604208,Ala.,23,Ala.,10895,Alabama Reports,296,"Burton F. AUSTIN v. J. Ed PEPPERMAN et al.; John C. GODBOLD, as Guardian Ad Litem, et al. v. J. Ed PEPPERMAN et al.",1965,1,24 Ala. 510,Tate v. Shackelford's Adm'r,3164016,1
2520246,Ala.,23,Ala.,10895,Alabama Reports,296,"Versie BATTLES v. PIERSON CHEVROLET, INC., et al.",1973,1,3 Dana 21,Dillingham v. Estill,3205992,1
9555898,Ala.,23,Ala. Civ. App.,12070,"Southern Reporter, Second Series",1026,Fannie Louise MOORE v. Henry Hoyt MOORE,1982,1,1 How. 1,Williams v. Ash,3325350,1
7507028,Ala.,23,Ala.,10895,"Southern Reporter, Second Series",1026,Robbie Jean McCORKLE and Marita M. McElwey v. Elizabeth Jamieson McELWEY,1991,1,5 Gratt. 374,Hume v. Hord,4375042,1
11777010,Ala.,23,Ala.,10895,"Southern Reporter, Second Series",1026,"Larry HARRIS and Susan Harris v. ARONOV REALTY COMPANY, INC., and Aronov Realty Brokerage, Inc.",1998,1,9 B. Mon 394,Helm's Administrator v. Young,4442563,1
8497938,Ala.,23,Ala.,10895,Alabama Reports,296,"HENDRICKS, ET UX. v. CHILTON, ET AL.",1845,1,11 Leigh 309,Powell's Ex'ors v. White,6720885,1
3041692,Ala.,23,Ala.,10895,Alabama Reports,296,"SMITH, a slave, v. THE STATE",1846,1,11 Leigh 309,Powell's Ex'ors v. White,6720885,1
11256311,Ala.,23,Ala.,10895,Alabama Reports,296,MASSEY v. WALKER,1846,1,11 Leigh 309,Powell's Ex'ors v. White,6720885,1
11257930,Ala.,23,Ala.,10895,Alabama Reports,296,"DARGAN v. WARING, et al.",1847,1,11 Leigh 309,Powell's Ex'ors v. White,6720885,1
8498380,Ala.,23,Ala.,10895,Alabama Reports,296,WILEY v. PARMER,1848,1,11 Leigh 309,Powell's Ex'ors v. White,6720885,1
8496378,Ala.,23,Ala.,10895,Alabama Reports,296,"JOHN, Adm'r, vs. PARKE JONES",1849,1,11 Leigh 595,Ware v. W'Candlish,6722065,1
3135435,Ala.,23,Ala.,10895,Alabama Reports,296,"STONE, Trustee, vs. HALE et al.",1850,1,3 Hen. & M. 47,Pope v. Towles,6724222,1
3171042,Ala.,23,Ala.,10895,Alabama Reports,296,ROBERTSON vs. SMITH,1850,1,4 Leigh 21,Bream v. Marsh,6724462,1
3173714,Ala.,23,Ala.,10895,Alabama Reports,296,MURRAY vs. THE STATE,1851,1,5 Munf. 334,Bolling v. Bolling,6725530,1
8498548,Ala.,23,Ala.,10895,Alabama Reports,296,TURNER vs. FENNER et als.,1851,1,2 Hen. & M. 149,Pallas v. Hill,6725860,1
8497744,Ala.,23,Ala.,10895,Alabama Reports,296,"POE, SHERIFF vs. DORRAH",1852,1,15 Gratt. 288,Clarkson v. Read,6731902,1
8496763,Ala.,23,Ala.,10895,Alabama Reports,296,LARKINS et al. vs. BIDDLE et al.,1852,1,15 Gratt. 288,Clarkson v. Read,6731902,1
8498056,Ala.,23,Ala.,10895,Alabama Reports,296,GUNN vs. BRANTLEY,1852,1,15 Gratt. 288,Clarkson v. Read,6731902,1
8496130,Ala.,23,Ala.,10895,Alabama Reports,296,WILLIAMS vs. SIMS,1853,1,15 Gratt. 288,Clarkson v. Read,6731902,1
3164354,Ala.,23,Ala.,10895,Alabama Reports,296,NELSON vs. IVERSON,1853,1,15 Gratt. 288,Clarkson v. Read,6731902,1
