source,target
378,3330421
8201,4410289
8783,8506776
9009,5236151
9121,8836792
9124,1662214
9183,5367274
9958,1926430
10205,1926430
11269,817846
11286,817846
13171,6047061
15595,5641506
16442,8820365
17944,3065012
18565,8498056
19692,817846
19733,817846
19779,817846
19870,817846
19889,8542411
19893,817846
19894,817846
19977,11265291
19997,8535029
20049,8665366
20137,2201887
20195,2201887
20600,3519841
20716,5777697
20776,66439
21465,6716729
21707,8684690
21974,8567995
22080,8567995
22190,2201887
22289,2201887
22987,5646974
23765,1487047
23779,1479172
23784,1484616
23997,3519841
24533,8712524
24987,3379987
27361,11750857
27413,11750857
27493,3164909
27732,3189465
27927,66439
28528,2079515
28734,1142548
28793,269906
31649,2244439
31820,4675669
31852,2079515
31862,4376875
31985,1479172
32462,8640081
32662,8640081
32748,2065803
32791,8658651
32802,2065803
32838,2065803
33054,1241303
33913,2321251
33937,11277782
33984,2065803
34147,2065803
35881,8640271
36294,1248828
36926,5138936
37040,1411801
37086,1411801
37340,1837162
37652,10330682
40164,5545515
40413,8640271
40813,4192668
41584,8654304
41628,8628169
41643,8628169
41813,3278452
42049,1009237
43084,8709896
43507,11255149
43713,3313754
43721,3313754
43754,8640581
43882,4394731
44170,2082972
44348,1780853
44416,1780853
44744,11728979
44929,1858090
45007,1320719
45423,1712590
45423,1134707
45446,1134707
46172,6716353
46789,3266649
47051,6739224
47582,2313149
47637,8713694
47637,2367928
47916,11263947
48243,8498056
48267,2201887
48316,8535719
48325,2201887
49480,2172696
49487,1040581
49518,5538617
49977,8626708
51759,935514
51978,2048210
52888,1868856
53341,2343059
53513,2343059
54585,7528353
54606,7528353
55073,8837326
55517,2997073
55735,1820662
55924,923253
55948,791209
56071,1253654
56417,4371072
56586,1680811
56593,1680811
56651,1831254
56748,1680811
56791,1680811
57759,10296271
57989,549478
58108,1144520
58557,1712590
58557,568704
58721,1930309
58762,1505574
58882,9527197
59256,12165677
59924,8850842
60217,2155717
61224,1868293
61515,8721031
62131,1815732
62208,1134707
62241,2063061
62259,1134707
62399,4386086
62401,8715765
62447,1497259
62463,8752976
62477,1491151
63051,1555037
63411,8850842
63411,2545499
63414,10024603
63423,8852889
63423,2545499
63424,3129501
63431,1341572
63452,3129501
65733,8837326
65972,2058482
66370,2279837
66385,8633846
66439,8850842
66455,2279837
66490,8852889
67909,8654304
68115,12165677
68588,2476982
69097,8879947
69118,1318831
69127,8513901
70397,5150324
71406,5144126
71769,933334
71837,8876745
72293,4371072
72365,12165677
72468,799909
73126,935514
73633,4372382
73803,8707077
74590,8495272
74732,8495272
74782,8493683
75474,1838749
75576,552801
75626,1826443
75677,1826443
75778,5545515
76277,933334
76543,6732544
77395,2175150
77649,12165677
77691,6734903
78085,8850548
78222,929011
78359,8498231
78582,1157546
79000,878702
80034,11728979
80035,11728979
80251,1894469
80707,2687089
81345,2204507
81349,8721031
81695,6725939
81745,8720870
81888,4451106
84806,1820562
84817,1820562
85040,1871000
85154,4562668
85537,8722692
85670,1543618
87317,6714659
87449,1855326
87802,1909740
87817,1909740
88624,1144520
88806,1868293
89316,8843412
90047,8882842
90095,7542561
90722,3386630
90850,422123
91423,4370959
91863,3215655
91906,3543100
91912,3543100
91957,4436402
92168,1820662
93055,11277782
93386,8654304
93707,11257930
94687,1808653
95383,1688775
95488,8725356
97018,1254051
97181,3543100
99900,3466605
100151,11075717
103633,2715820
103738,314406
105157,8852368
110519,2083037
114910,1826440
115610,5545890
116302,903980
116350,3311485
118836,3313754
118990,3266649
122426,1762494
122532,3366456
122536,3518525
123718,3276610
124299,923253
124356,791209
124361,791209
124374,923253
126314,1867102
126809,8725356
127011,8725356
130817,8586365
130886,8879947
131251,2121377
131251,7507028
131311,5587414
136359,378510
136422,2010275
136855,8496541
137017,2604208
137420,552765
138937,2058482
139019,2067538
139699,8496541
141698,552765
142317,11256465
142481,5613191
142938,10299628
143627,9894504
144104,3518525
145061,3330421
146741,1826443
146823,1826443
148645,3499998
149349,5545515
152348,3499998
152818,3189465
153964,1502524
154690,3178182
156094,8496763
157056,2053794
157143,2053794
157419,2048210
158776,8497313
161582,10034489
161596,3076328
162616,892505
165023,2254127
165092,2254127
165960,8497488
166770,3129501
166781,8840338
166781,1505505
167562,8838600
168073,8719561
168080,436396
168099,5711994
170380,2087429
170419,2087429
170691,469025
173803,8517927
174885,5610384
177601,3509367
179044,5610384
179614,2016944
179660,8583406
179928,3509367
179998,1641958
181970,12165677
182558,1129293
182587,966263
182649,609311
183685,3350363
184801,4511522
186340,1826443
188978,8489997
189842,1894469
192803,1939753
193405,8692075
194409,5544897
194608,4377214
194626,301751
194691,6732570
194722,2481093
194782,1427714
194837,2481093
197117,8640565
199655,5638841
199672,8662369
200093,9894504
201093,4370959
201611,2244439
202049,8495272
204009,4450967
204472,7622704
204511,1253654
204514,7622704
204525,935514
205972,791209
205999,1867102
206021,1039785
206179,1134707
208328,4383244
208746,1859266
208797,2199641
208854,1859266
213400,2361970
213404,2361970
213422,2361970
213439,8485256
215505,4383244
216032,6725376
216055,8640901
216067,8640901
216155,4432517
216603,2729523
217345,8490458
220587,2235512
